"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "XML", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\ADNAN\Documents\travisor\admin\src\constant\codes.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\ADNAN\Documents\travisor\admin\src\constant\colors.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\ADNAN\Documents\travisor\admin\src\constant\countries.js", "JavaScript", 207, 0, 0, 0, 0, 0, 0, 0, 1, 208
"c:\Users\ADNAN\Documents\travisor\admin\src\constant\destinations.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\ADNAN\Documents\travisor\admin\src\constant\flights.js", "JavaScript", 108, 0, 0, 0, 0, 0, 0, 0, 6, 114
"c:\Users\ADNAN\Documents\travisor\admin\src\constant\hotels.js", "JavaScript", 421, 0, 0, 0, 0, 0, 0, 0, 2, 423
"c:\Users\ADNAN\Documents\travisor\admin\src\constant\package.js", "JavaScript", 306, 0, 0, 0, 0, 0, 0, 0, 3, 309
"c:\Users\ADNAN\Documents\travisor\admin\src\constant\transports.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 1, 57
"c:\Users\ADNAN\Documents\travisor\admin\src\index.css", "CSS", 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\ADNAN\Documents\travisor\admin\src\index.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 3, 3, 17
"c:\Users\ADNAN\Documents\travisor\admin\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\ADNAN\Documents\travisor\admin\src\pages\AddTravelPackage.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\ADNAN\Documents\travisor\admin\src\pages\BookingDetailView.jsx", "JavaScript JSX", 0, 234, 0, 0, 0, 0, 0, 0, 9, 243
"c:\Users\ADNAN\Documents\travisor\admin\src\pages\Bookings.jsx", "JavaScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 3, 46
"c:\Users\ADNAN\Documents\travisor\admin\src\pages\CancelledBookings.jsx", "JavaScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 3, 46
"c:\Users\ADNAN\Documents\travisor\admin\src\pages\CustomerRequests.jsx", "JavaScript JSX", 0, 44, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\ADNAN\Documents\travisor\admin\src\pages\Home.jsx", "JavaScript JSX", 0, 79, 0, 0, 0, 0, 0, 0, 3, 82
"c:\Users\ADNAN\Documents\travisor\admin\src\pages\Login.jsx", "JavaScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\ADNAN\Documents\travisor\admin\src\pages\Profile.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\ADNAN\Documents\travisor\admin\src\pages\Register.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\ADNAN\Documents\travisor\admin\src\pages\TravelPackageDetailView.jsx", "JavaScript JSX", 0, 230, 0, 0, 0, 0, 0, 0, 7, 237
"c:\Users\ADNAN\Documents\travisor\admin\src\pages\TravelPackages.jsx", "JavaScript JSX", 0, 39, 0, 0, 0, 0, 0, 0, 3, 42
"c:\Users\ADNAN\Documents\travisor\admin\src\pages\UpdateTravelPackage.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 7, 43
"c:\Users\ADNAN\Documents\travisor\admin\src\service\agency-api.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\ADNAN\Documents\travisor\admin\src\service\booking-api.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 3, 41
"c:\Users\ADNAN\Documents\travisor\admin\src\service\customer-request-api.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\ADNAN\Documents\travisor\admin\src\service\package-api.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 4, 51
"c:\Users\ADNAN\Documents\travisor\admin\src\util\date-functions.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\ADNAN\Documents\travisor\admin\src\util\formatter.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 3, 10, 54
"c:\Users\ADNAN\Documents\travisor\admin\src\util\validation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 4391, 846, 12966, 1, 45, 38, 26, 42, 311, 18666
